Type,AlexNet,VGG,GoogleNet,ResNet,ResNeXt
original,98.39645385742188,99.87576293945312,99.8062515258789,99.93241119384766,99.99693298339844
modified,2.8716015815734863,89.84844970703125,91.47664642333984,98.77525329589844,99.34086608886719
