Image,AlexNet,VGG,GoogleNet,ResNet,ResNeXt
Bee,52.48906707763672,98.28702545166016,67.63265991210938,98.95816040039062,99.8470230102539
Horse,4.800734996795654,97.69318389892578,13.032950401306152,78.20713806152344,99.74838256835938
Rabbit,0,0,4.946071624755859,23.90313148498535,17.97379493713379
Spider,21.753095626831055,85.62604522705078,72.46210479736328,46.4277458190918,81.59934997558594
