Type,AlexNet,VGG,GoogleNet,ResNet,ResNeXt
original,99.27110290527344,99.98546600341797,90.72769927978516,94.69268035888672,83.66082763671875
modified,0,49.82986068725586,65.92901611328125,18.787708282470703,29.386272430419922
