Type,AlexNet,VGG,GoogleNet,ResNet,ResNeXt
original,17.457317352294922,98.88188171386719,36.3155632019043,96.84297180175781,99.7530746459961
modified,0,3.565927505493164,0,46.43991470336914,9.504709243774414
