Filter,AlexNet,VGG,GoogleNet,ResNet,ResNeXt
Original,52.48906707763672,98.28702545166016,67.63265991210938,98.95816040039062,99.8470230102539
Flip,20.35439682006836,62.67262649536133,57.80155563354492,92.113037109375,99.68885803222656
Invert,6.626359939575195,58.68550491333008,41.195030212402344,78.05960845947266,88.39674377441406
GaussianBlur,0,5.897745609283447,4.609780311584473,5.517812252044678,7.207650661468506
MinFilter,70.81695556640625,36.28563690185547,62.756103515625,90.1264877319336,44.03802490234375
