Filter,AlexNet,VGG,GoogleNet,ResNet,ResNeXt
Original,0,0,4.946071624755859,23.90313148498535,17.97379493713379
Flip,0,0,7.981998443603516,3.772127628326416,0
Invert,0,0,0,23.155269622802734,0
GaussianBlur,0,0,0,0,0
MinFilter,0,0,0,0,0
