Filter,AlexNet,VGG,GoogleNet,ResNet,ResNeXt
Original,21.753095626831055,85.62604522705078,72.46210479736328,46.4277458190918,81.59934997558594
Flip,12.88593864440918,86.75035095214844,74.56848907470703,18.028697967529297,55.832664489746094
Invert,0,38.987457275390625,0,0,62.224220275878906
GaussianBlur,0,0,0,0,0
MinFilter,21.770381927490234,24.50653839111328,44.59866714477539,31.40464210510254,40.98268127441406
