Filter,AlexNet,VGG,GoogleNet,ResNet,ResNeXt
Original,4.800734996795654,97.69318389892578,13.032950401306152,78.20713806152344,99.74838256835938
Flip,0,0,0,0,5.30938196182251
Invert,0,0,0,19.020084381103516,7.665673732757568
GaussianBlur,0,0,0,0,0
MinFilter,0,0,0,0,0
