Type,AlexNet,VGG,GoogleNet,ResNet,ResNeXt
original,0,97.3147201538086,52.18795394897461,96.0137939453125,98.89671325683594
modified,2.6007537841796875,78.34425354003906,0,87.6935043334961,86.93517303466797
