Type,AlexNet,VGG,GoogleNet,ResNet,ResNeXt
original,86.67527770996094,96.21669006347656,97.94417572021484,98.02249908447266,99.92415618896484
modified,0,0,68.95259094238281,27.20499038696289,99.48078155517578
