Type,AlexNet,VGG,GoogleNet,ResNet,ResNeXt
original,99.90835571289062,99.9952163696289,98.90618896484375,99.99124145507812,99.30072784423828
modified,37.097415924072266,36.609886169433594,3.3711273670196533,89.7735366821289,99.32942199707031
