Image,VGG,AlexNet,ResNet,GoogleNet,SqueezeNet,DenseNet,Inception,MobileNet,ResNeXt,Wide ResNet
Original,99.96620178222656,99.69194030761719,99.93289947509766,98.69813537597656,99.87576293945312,99.99434661865234,99.97903442382812,99.9876480102539,99.99847412109375,99.93560028076172
Blur,0,0,99.67961883544922,0,0,89.72679138183594,99.97591400146484,55.5102424621582,99.39892578125,99.0295181274414
Engrave,0,0,0,0,0,33.35076904296875,0,0,0,0
Invert,75.30909729003906,0.6129777431488037,49.66257095336914,16.999568939208984,21.531339645385742,71.35526275634766,97.7190170288086,99.97809600830078,61.5010986328125,80.71906280517578
Lines,59.233360290527344,0,99.9793930053711,0,0,99.13874053955078,0,93.78374481201172,99.95368957519531,99.43904113769531
Mozaika,0,0,0,0,0,0,0,0,0,0
Pixels,0,0,46.460357666015625,17.230268478393555,0,18.49444007873535,99.97528076171875,14.88060188293457,10.854521751403809,44.711883544921875
Relief,0,0,30.52975845336914,2.3399579524993896,0,5.549092769622803,22.1644229888916,0,29.88436508178711,20.25699234008789
